Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Kyrgyzstan,74.3,KGZ
South Africa,74.06,ZAF
Tanzania,74.03,TZA
Tanzania,74.03,TZA
Tanzania,74.03,TZA
Mexico,73.82,MEX
Afghanistan,73.78,AFG
Jordan,73.76,JOR
China,73.68,CHN
China,73.61,CHN
Uganda,73.01,UGA
Uganda,73.01,UGA
Sierra Leone,72.99,SLE
Mexico,72.57,MEX
Ecuador,72.32,ECU
Czech Republic,71.83,CZE
Kyrgyzstan,71.83,KGZ
Greece,71.74,GRC
Kyrgyzstan,71.15,KGZ
China,70.9,CHN
Mali,70.83,MLI
Mali,70.83,MLI
Mali,70.83,MLI
Kyrgyzstan,70.77,KGZ
Czech Republic,70.73,CZE
Egypt,70.66,EGY
Nepal,70.65,NPL
China,70.52,CHN
Papua New Guinea,70.34,PNG
Nigeria,70.19,NGA
Uzbekistan,70.16,UZB
Madagascar,70.01,MDG
China,69.96,CHN
China,69.96,CHN
Kyrgyzstan,69.35,KGZ
Bangladesh,68.74,BGD
Nigeria,68.69,NGA
Israel,68.48,ISR
United States,68.27,USA
Brazil,67.78,BRA
Brazil,67.66,BRA
Nigeria,66.97,NGA
Venezuela,66.55,VEN
Bangladesh,66.45,BGD
Kyrgyzstan,66.05,KGZ
Poland,66.03,POL
Mexico,65.9,MEX
Uzbekistan,65.77,UZB
Uzbekistan,65.77,UZB
Ecuador,65.74,ECU
France,65.72,FRA
France,65.72,FRA
Egypt,64.78,EGY
Saudi Arabia,64.52,SAU
Kyrgyzstan,64.4,KGZ
Pakistan,64.28,PAK
Pakistan,64.28,PAK
Malawi,63.97,MWI
Malawi,63.97,MWI
Ethiopia,63.94,ETH
Peru,63.32,PER
Azerbaijan,62.92,AZE
Mexico,62.56,MEX
Mexico,62.31,MEX
Zambia,62.29,ZMB
Indonesia,61.96,IDN
Indonesia,61.96,IDN
Peru,61.84,PER
Czech Republic,61.66,CZE
United States,61.4,USA
Guatemala,61.18,GTM
Angola,60.8,AGO
Angola,60.8,AGO
Netherlands,60.74,NLD
Viet Nam,60.53,VNM
Viet Nam,60.53,VNM
Viet Nam,60.53,VNM
United Kingdom,60.34,GBR
Madagascar,59.85,MDG
Mexico,59.81,MEX
France,59.74,FRA
Kyrgyzstan,59.44,KGZ
Sierra Leone,59.4,SLE
Bangladesh,59.29,BGD
Ecuador,59.19,ECU
France,59.14,FRA
France,59.14,FRA
Ecuador,59.13,ECU
Belgium,59.08,BEL
"Taiwan, China",58.73,TWN
France,58.72,FRA
Czech Republic,58.7,CZE
United Arab Emirates,58.5,ARE
United Arab Emirates,58.5,ARE
Thailand,58.2,THA
Thailand,58.1,THA
Nigeria,58.04,NGA
Thailand,58.01,THA
Mexico,57.97,MEX
Uganda,57.93,UGA
Slovak Republic,57.86,SVK
Mozambique,57.82,MOZ
Peru,57.57,PER
Zambia,57.5,ZMB
Nepal,57.09,NPL
South Africa,57.07,ZAF
"Taiwan, China",57.02,TWN
Tunisia,56.99,TUN
Nepal,56.8,NPL
Madagascar,56.7,MDG
Madagascar,56.7,MDG
Madagascar,56.7,MDG
Korea (South),56.57,KOR
Mozambique,56.4,MOZ
Brazil,56.39,BRA
Afghanistan,56.37,AFG
Brazil,56.29,BRA
Brazil,56.2,BRA
South Africa,56.18,ZAF
Brazil,56.01,BRA
Nigeria,55.81,NGA
Nigeria,55.81,NGA
Nigeria,55.81,NGA
Turkey,55.66,TUR
South Africa,55.54,ZAF
Canada,55.29,CAN
Kyrgyzstan,55.2,KGZ
France,55.01,FRA
France,55.01,FRA
Bangladesh,54.99,BGD
Chad,54.82,TCD
Uganda,54.76,UGA
Uganda,54.76,UGA
Egypt,54.41,EGY
Peru,54.28,PER
China,53.79,CHN
Madagascar,53.55,MDG
Mozambique,53.54,MOZ
Malawi,53.31,MWI
Malawi,53.31,MWI
Mali,53.12,MLI
Kyrgyzstan,52.84,KGZ
Uzbekistan,52.62,UZB
Australia,52.61,AUS
Thailand,52.56,THA
"Taiwan, China",52.2,TWN
"Hong Kong, China",52.02,HKG
Spain,51.79,ESP
Uganda,51.56,UGA
Iraq,51.52,IRQ
France,51.34,FRA
Ukraine,51.25,UKR
United States,51.2,USA
Korea (South),51.18,KOR
United States,51.17,USA
Haiti,50.99,HTI
Haiti,50.99,HTI
Mozambique,50.86,MOZ
Brazil,50.82,BRA
Brazil,50.81,BRA
Uganda,50.7,UGA
Peru,50.66,PER
South Africa,50.43,ZAF
Madagascar,50.4,MDG
Madagascar,50.4,MDG
Madagascar,50.4,MDG
Ethiopia,50.13,ETH
Mexico,49.8,MEX
Mexico,49.8,MEX
Canada,49.76,CAN
Canada,49.76,CAN
Turkey,49.7,TUR
Poland,49.55,POL
Uganda,49.51,UGA
Singapore,49.28,SGP
Madagascar,49.22,MDG
Chad,48.94,TCD
Kenya,48.79,KEN
Uganda,48.67,UGA
Uganda,48.67,UGA
Uganda,48.67,UGA
Uganda,48.67,UGA
Uganda,48.67,UGA
Netherlands,48.59,NLD
Netherlands,48.59,NLD
Indonesia,48.41,IDN
Kazakhstan,48.33,KAZ
Iraq,48.3,IRQ
Mozambique,48.18,MOZ
Guatemala,48.13,GTM
Netherlands,48.1,NLD
Mexico,47.96,MEX
Bulgaria,47.86,BGR
Nigeria,47.84,NGA
Belarus,47.55,BLR
Brazil,47.52,BRA
Sierra Leone,47.52,SLE
Peru,47.49,PER
"Hong Kong, China",47.29,HKG
Azerbaijan,47.19,AZE
Mozambique,47.05,MOZ
Mexico,46.92,MEX
Malawi,46.85,MWI
South Africa,46.57,ZAF
South Africa,46.57,ZAF
Nigeria,46.51,NGA
Thailand,46.48,THA
Algeria,46.34,DZA
Uganda,46.3,UGA
Tanzania,46.27,TZA
Kyrgyzstan,46.23,KGZ
Madagascar,46.15,MDG
Madagascar,46.15,MDG
Madagascar,46.15,MDG
Zambia,46,ZMB
Czech Republic,45.86,CZE
Rwanda,45.83,RWA
Angola,45.6,AGO
South Africa,45.58,ZAF
South Africa,45.2,ZAF
Saudi Arabia,45.17,SAU
Brazil,45.15,BRA
United Kingdom,45.14,GBR
Rwanda,45.05,RWA
Switzerland,44.8,CHE
Nigeria,44.65,NGA
Nigeria,44.65,NGA
Nigeria,44.65,NGA
Nigeria,44.65,NGA
Nigeria,44.65,NGA
Nigeria,44.65,NGA
Uganda,44.56,UGA
Uganda,44.56,UGA
Cote d'Ivoire,44.44,CIV
Tanzania,44.42,TZA
Sierra Leone,44.13,SLE
Bulgaria,44.03,BGR
Bulgaria,43.88,BGR
Uzbekistan,43.85,UZB
Bulgaria,43.73,BGR
Netherlands,43.73,NLD
Turkey,43.68,TUR
Uganda,43.48,UGA
Uganda,43.46,UGA
Cote d'Ivoire,43.34,CIV
Nigeria,42.93,NGA
Nigeria,42.93,NGA
Mozambique,42.83,MOZ
Nicaragua,42.83,NIC
Spain,42.8,ESP
Spain,42.8,ESP
Japan,42.62,JPN
Kyrgyzstan,42.6,KGZ
Chile,42.39,CHL
Bolivia,42.28,BOL
Korea (South),42.25,KOR
Venezuela,42.23,VEN
Mexico,41.71,MEX
Malawi,41.65,MWI
Mexico,41.5,MEX
Canada,41.47,CAN
Mexico,41.42,MEX
Mexico,41.29,MEX
Niger,41.15,NER
Philippines,40.96,PHL
Philippines,40.96,PHL
Philippines,40.96,PHL
United States,40.96,USA
Malaysia,40.91,MYS
Mexico,40.87,MEX
Mexico,40.87,MEX
China,40.75,CHN
Uganda,40.56,UGA
Peru,40.54,PER
Netherlands,40.49,NLD
Viet Nam,40.35,VNM
Bangladesh,40.28,BGD
Kazakhstan,40.28,KAZ
Germany,39.77,DEU
Brazil,39.6,BRA
Bangladesh,39.53,BGD
Bangladesh,39.53,BGD
Ecuador,39.46,ECU
Belgium,39.39,BEL
Belgium,39.39,BEL
Belgium,39.39,BEL
Bangladesh,39.16,BGD
Chad,39.15,TCD
Nicaragua,39.11,NIC
Malawi,39.05,MWI
Malawi,39.05,MWI
Czech Republic,39,CZE
Colombia,38.99,COL
Colombia,38.99,COL
Argentina,38.98,ARG
Egypt,38.87,EGY
Mexico,38.79,MEX
Uganda,38.75,UGA
Indonesia,38.72,IDN
Brazil,38.62,BRA
Uganda,38.62,UGA
Poland,38.2,POL
Nigeria,38.15,NGA
Senegal,38.14,SEN
Germany,38.11,DEU
Saudi Arabia,38.07,SAU
Bolivia,38.05,BOL
South Africa,38.05,ZAF
Angola,38,AGO
Peru,37.99,PER
Venezuela,37.94,VEN
South Africa,37.92,ZAF
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
Turkey,37.77,TUR
Azerbaijan,37.75,AZE
United Kingdom,37.71,GBR
Bulgaria,37.7,BGR
Mozambique,37.64,MOZ
Mexico,37.54,MEX
Rwanda,37.54,RWA
Ecuador,37.51,ECU
South Africa,37.33,ZAF
South Africa,37.31,ZAF
Chile,37.3,CHL
South Africa,37.28,ZAF
South Africa,37.28,ZAF
Mexico,37.12,MEX
Peru,37.1,PER
Tanzania,37.01,TZA
Bangladesh,36.92,BGD
Mexico,36.91,MEX
Uzbekistan,36.83,UZB
Kenya,36.59,KEN
Kenya,36.59,KEN
Mexico,36.53,MEX
Uganda,36.51,UGA
Peru,36.49,PER
Kyrgyzstan,36.28,KGZ
Iraq,36.23,IRQ
Bangladesh,35.93,BGD
Uganda,35.65,UGA
France,35.49,FRA
Mali,35.42,MLI
Switzerland,35.37,CHE
Argentina,34.96,ARG
China,34.93,CHN
Austria,34.85,AUT
Netherlands,34.71,NLD
Argentina,34.57,ARG
"Hong Kong, China",34.54,HKG
Netherlands,34.53,NLD
Japan,34.42,JPN
Bangladesh,34.37,BGD
Bangladesh,34.37,BGD
Korea (South),34.12,KOR
Ethiopia,33.81,ETH
Colombia,33.61,COL
Bangladesh,33.56,BGD
Mexico,33.37,MEX
Mexico,33.37,MEX
Mali,33.29,MLI
Mali,33.29,MLI
Canada,33.18,CAN
Afghanistan,33.01,AFG
Poland,33,POL
Mexico,32.95,MEX
Ukraine,32.94,UKR
Mexico,32.87,MEX
Madagascar,32.82,MDG
Poland,32.74,POL
Philippines,32.72,PHL
Nigeria,32.7,NGA
Kyrgyzstan,32.65,KGZ
South Africa,32.64,ZAF
Bangladesh,32.61,BGD
China,32.6,CHN
Romania,32.46,ROM
Romania,32.46,ROM
Ghana,32.29,GHA
Finland,32.19,FIN
South Africa,32.1,ZAF
Chile,32.07,CHL
Angola,32.06,AGO
Ecuador,32.01,ECU
Bolivia,31.71,BOL
Bolivia,31.71,BOL
Bolivia,31.71,BOL
Peru,31.66,PER
Venezuela,31.62,VEN
Uzbekistan,31.57,UZB
Azerbaijan,31.46,AZE
Hungary,31.42,HUN
Bangladesh,31.25,BGD
Malawi,31.24,MWI
Malawi,31.24,MWI
Malawi,31.24,MWI
Saudi Arabia,31.19,SAU
South Africa,31.11,ZAF
South Africa,31.01,ZAF
Indonesia,30.98,IDN
Indonesia,30.98,IDN
Mexico,30.97,MEX
Venezuela,30.93,VEN
Uganda,30.9,UGA
Niger,30.86,NER
Tanzania,30.84,TZA
Philippines,30.83,PHL
Mexico,30.5,MEX
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
Kenya,30.49,KEN
South Africa,30.49,ZAF
South Africa,30.47,ZAF
Uganda,30.47,UGA
Mexico,30.42,MEX
Mexico,30.42,MEX
Uganda,30.42,UGA
Ecuador,30.37,ECU
Netherlands,30.37,NLD
Venezuela,30.25,VEN
United Kingdom,30.17,GBR
United Kingdom,30.17,GBR
Bulgaria,30.16,BGR
Ecuador,30.01,ECU
South Africa,29.92,ZAF
Bulgaria,29.86,BGR
Turkey,29.82,TUR
Turkey,29.82,TUR
Uganda,29.71,UGA
Uganda,29.71,UGA
Sierra Leone,29.7,SLE
Ecuador,29.61,ECU
Tanzania,29.61,TZA
Tanzania,29.61,TZA
France,29.57,FRA
France,29.57,FRA
Singapore,29.57,SGP
South Africa,29.51,ZAF
Rwanda,29.33,RWA
Kenya,29.27,KEN
Peru,29.13,PER
Nigeria,29.07,NGA
Nigeria,29.07,NGA
South Africa,28.99,ZAF
South Africa,28.99,ZAF
South Africa,28.99,ZAF
Guatemala,28.88,GTM
Guatemala,28.88,GTM
Guatemala,28.88,GTM
South Africa,28.83,ZAF
South Africa,28.8,ZAF
South Africa,28.8,ZAF
South Africa,28.8,ZAF
South Africa,28.73,ZAF
South Africa,28.73,ZAF
South Africa,28.73,ZAF
South Africa,28.73,ZAF
South Africa,28.73,ZAF
South Africa,28.71,ZAF
Greece,28.7,GRC
Greece,28.7,GRC
Bangladesh,28.64,BGD
Ecuador,28.63,ECU
Nigeria,28.62,NGA
United Arab Emirates,28.57,ARE
Mexico,28.51,MEX
Nepal,28.45,NPL
Uganda,28.29,UGA
United Arab Emirates,28.28,ARE
United Arab Emirates,28.28,ARE
Ecuador,28.2,ECU
Australia,28.18,AUS
Turkey,28.15,TUR
Uganda,28.06,UGA
Mexico,27.98,MEX
South Africa,27.87,ZAF
Spain,27.87,ESP
Peru,27.83,PER
Kyrgyzstan,27.82,KGZ
Tanzania,27.76,TZA
Dominican Rep.,27.66,DOM
Dominican Rep.,27.66,DOM
Zambia,27.55,ZMB
Kenya,27.44,KEN
Poland,27.28,POL
Czech Republic,27.15,CZE
Zambia,27.15,ZMB
Tanzania,27.11,TZA
Tanzania,27.11,TZA
Tanzania,27.11,TZA
South Africa,27.1,ZAF
Cote d'Ivoire,27.09,CIV
Cote d'Ivoire,27.09,CIV
Malaysia,26.92,MYS
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Ghana,26.91,GHA
Argentina,26.81,ARG
Mozambique,26.77,MOZ
Serbia,26.74,SRB
South Africa,26.74,ZAF
Angola,26.72,AGO
Colombia,26.69,COL
Sri Lanka,26.69,LKA
Poland,26.62,POL
Spain,26.47,ESP
United Kingdom,26.33,GBR
Ecuador,26.32,ECU
Serbia,26.29,SRB
Tajikistan,26.29,TJK
China,26.2,CHN
Mozambique,26.14,MOZ
Venezuela,26.12,VEN
Romania,25.97,ROM
Mali,25.94,MLI
Mali,25.94,MLI
Egypt,25.91,EGY
Sri Lanka,25.81,LKA
Kazakhstan,25.78,KAZ
Uganda,25.75,UGA
Niger,25.72,NER
Mozambique,25.7,MOZ
Australia,25.69,AUS
Australia,25.69,AUS
Poland,25.68,POL
Spain,25.68,ESP
Ecuador,25.66,ECU
Madagascar,25.64,MDG
Peru,25.56,PER
Germany,25.49,DEU
Germany,25.37,DEU
Korea (South),25.35,KOR
Angola,25.33,AGO
Peru,25.33,PER
Malaysia,25.24,MYS
Malaysia,25.24,MYS
Viet Nam,25.22,VNM
Korea (South),25.19,KOR
Nigeria,25.16,NGA
Peru,25.12,PER
Czech Republic,25.11,CZE
Mozambique,25.08,MOZ
Thailand,25.03,THA
Mexico,25.02,MEX
Sri Lanka,24.92,LKA
South Africa,24.88,ZAF
Madagascar,24.78,MDG
Madagascar,24.78,MDG
Philippines,24.66,PHL
Chile,24.61,CHL
Chile,24.61,CHL
China,24.45,CHN
Mexico,24.44,MEX
Mexico,24.44,MEX
Uganda,24.44,UGA
Portugal,24.4,PRT
Portugal,24.4,PRT
Kenya,24.39,KEN
Kenya,24.39,KEN
Kenya,24.39,KEN
Kenya,24.39,KEN
Romania,24.35,ROM
Jordan,24.34,JOR
Uganda,24.34,UGA
Uganda,24.34,UGA
Mexico,24.32,MEX
Turkey,24.27,TUR
Ghana,24.21,GHA
Ghana,24.21,GHA
Ghana,24.21,GHA
Viet Nam,24.21,VNM
Iraq,24.15,IRQ
Peru,24.12,PER
"Hong Kong, China",23.96,HKG
Cote d'Ivoire,23.81,CIV
Uganda,23.77,UGA
Uganda,23.77,UGA
Netherlands,23.73,NLD
Portugal,23.69,PRT
Uzbekistan,23.68,UZB
Uzbekistan,23.68,UZB
Uganda,23.67,UGA
Tajikistan,23.66,TJK
Austria,23.63,AUT
Nigeria,23.62,NGA
Nigeria,23.62,NGA
Belgium,23.61,BEL
Switzerland,23.58,CHE
Bangladesh,23.5,BGD
Bolivia,23.36,BOL
Kazakhstan,23.36,KAZ
Mali,23.35,MLI
Mali,23.35,MLI
Belarus,23.25,BLR
Yemen,23.25,YEM
Bolivia,23.22,BOL
Belarus,23.17,BLR
Slovak Republic,23.14,SVK
Sri Lanka,23.14,LKA
Mozambique,23.13,MOZ
Slovak Republic,23.11,SVK
Mali,23.06,MLI
Kyrgyzstan,22.98,KGZ
South Africa,22.91,ZAF
Ecuador,22.9,ECU
Senegal,22.88,SEN
Colombia,22.86,COL
Colombia,22.86,COL
Spain,22.83,ESP
Thailand,22.81,THA
Nepal,22.78,NPL
Thailand,22.75,THA
Thailand,22.75,THA
Thailand,22.75,THA
Honduras,22.74,HND
United Kingdom,22.63,GBR
United Kingdom,22.63,GBR
Mozambique,22.59,MOZ
Tanzania,22.59,TZA
Portugal,22.46,PRT
Portugal,22.46,PRT
Chile,22.38,CHL
Germany,22.35,DEU
Chile,22.3,CHL
Spain,22.29,ESP
Tanzania,22.21,TZA
Dominican Rep.,22.1,DOM
United Kingdom,22.1,GBR
Jordan,22.06,JOR
Pakistan,22.04,PAK
Ecuador,22,ECU
Ukraine,21.96,UKR
Ukraine,21.96,UKR
Australia,21.92,AUS
Australia,21.92,AUS
Guatemala,21.91,GTM
Benin,21.88,BEN
Nigeria,21.8,NGA
Paraguay,21.74,PRY
Uganda,21.53,UGA
Ghana,21.52,GHA
China,21.49,CHN
China,21.49,CHN
Bangladesh,21.48,BGD
Chile,21.47,CHL
Mozambique,21.42,MOZ
Mozambique,21.42,MOZ
Mozambique,21.42,MOZ
Mozambique,21.42,MOZ
Mozambique,21.42,MOZ
Nicaragua,21.42,NIC
Slovak Republic,21.41,SVK
Spain,21.4,ESP
Brazil,21.39,BRA
Chile,21.38,CHL
Angola,21.37,AGO
Benin,21.37,BEN
Ukraine,21.35,UKR
Peru,21.15,PER
United Kingdom,21.12,GBR
Uzbekistan,21.05,UZB
Greece,21.02,GRC
Belarus,20.96,BLR
Belarus,20.96,BLR
Zambia,20.96,ZMB
Dominican Rep.,20.92,DOM
Dominican Rep.,20.92,DOM
Mozambique,20.91,MOZ
Mozambique,20.91,MOZ
Spain,20.9,ESP
Thailand,20.86,THA
India,20.83,IND
Kenya,20.74,KEN
Mexico,20.71,MEX
Indonesia,20.65,IDN
Mexico,20.65,MEX
Mexico,20.65,MEX
India,20.62,IND
Philippines,20.55,PHL
Serbia,20.54,SRB
Dominican Rep.,20.53,DOM
Philippines,20.51,PHL
Philippines,20.45,PHL
Dominican Rep.,20.4,DOM
Colombia,20.36,COL
Mexico,20.36,MEX
Kenya,20.33,KEN
Mexico,20.28,MEX
Uganda,20.28,UGA
Canada,20.25,CAN
Peru,20.2,PER
Ghana,20.18,GHA
Ghana,20.18,GHA
Ghana,20.18,GHA
Ghana,20.18,GHA
Viet Nam,20.18,VNM
Bangladesh,20.14,BGD
Singapore,20.12,SGP
Bulgaria,20.11,BGR
Philippines,20.03,PHL
Philippines,20.03,PHL
United States,20,USA
Thailand,19.96,THA
Ecuador,19.74,ECU
Colombia,19.71,COL
Madagascar,19.69,MDG
Afghanistan,19.61,AFG
Colombia,19.56,COL
Cote d'Ivoire,19.5,CIV
Nepal,19.48,NPL
Romania,19.48,ROM
Romania,19.48,ROM
Egypt,19.43,EGY
Ghana,19.37,GHA
Indonesia,19.36,IDN
Ecuador,19.35,ECU
Uganda,19.31,UGA
Slovak Republic,19.29,SVK
Uzbekistan,19.29,UZB
Australia,19.27,AUS
France,19.25,FRA
Singapore,19.25,SGP
Hungary,19.1,HUN
Mexico,19.1,MEX
Thailand,19.08,THA
Romania,19.02,ROM
Peru,19,PER
Egypt,18.98,EGY
Honduras,18.95,HND
Uzbekistan,18.94,UZB
Denmark,18.9,DNK
Azerbaijan,18.88,AZE
Zambia,18.87,ZMB
Mozambique,18.82,MOZ
Uzbekistan,18.79,UZB
Belarus,18.67,BLR
Germany,18.67,DEU
Germany,18.67,DEU
Germany,18.66,DEU
Senegal,18.62,SEN
Senegal,18.62,SEN
El Salvador,18.52,SLV
Tanzania,18.51,TZA
Tanzania,18.51,TZA
Belarus,18.49,BLR
El Salvador,18.44,SLV
Turkey,18.44,TUR
Azerbaijan,18.43,AZE
El Salvador,18.43,SLV
Bolivia,18.42,BOL
Jordan,18.4,JOR
Tajikistan,18.4,TJK
Tajikistan,18.4,TJK
Jordan,18.35,JOR
Rwanda,18.33,RWA
Rwanda,18.33,RWA
Kenya,18.3,KEN
Kenya,18.3,KEN
Kenya,18.3,KEN
Serbia,18.28,SRB
Mexico,18.27,MEX
Philippines,18.27,PHL
Canada,18.22,CAN
Canada,18.22,CAN
Poland,18.19,POL
Poland,18.19,POL
Nigeria,18.17,NGA
Nigeria,18.17,NGA
Chile,18.15,CHL
United Kingdom,18.1,GBR
Tanzania,18.07,TZA
Denmark,17.99,DNK
Zambia,17.97,ZMB
Poland,17.95,POL
Malaysia,17.94,MYS
Brazil,17.93,BRA
Bangladesh,17.9,BGD
Kenya,17.87,KEN
Bulgaria,17.79,BGR
Netherlands,17.74,NLD
Singapore,17.73,SGP
India,17.7,IND
Brazil,17.66,BRA
Philippines,17.61,PHL
Korea (South),17.55,KOR
Czech Republic,17.48,CZE
Nigeria,17.44,NGA
Nigeria,17.44,NGA
Belarus,17.43,BLR
Spain,17.42,ESP
Iraq,17.39,IRQ
Bulgaria,17.38,BGR
Bulgaria,17.38,BGR
Nicaragua,17.38,NIC
India,17.36,IND
India,17.36,IND
India,17.36,IND
Singapore,17.33,SGP
Belgium,17.31,BEL
Belgium,17.3,BEL
Belgium,17.3,BEL
Viet Nam,17.29,VNM
Tanzania,17.27,TZA
South Africa,17.24,ZAF
Colombia,17.23,COL
Colombia,17.2,COL
Venezuela,17.19,VEN
India,17.18,IND
Spain,17.12,ESP
Kenya,17.08,KEN
Thailand,17.08,THA
Spain,17.06,ESP
India,17.01,IND
Colombia,16.97,COL
Rwanda,16.92,RWA
