Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Bolivia,59.79640098,BOL
France,59.784851,FRA
Egypt,59.77210806,EGY
Azerbaijan,59.51088585,AZE
South Africa,59.44445888,ZAF
Kyrgyzstan,59.3806198,KGZ
Zambia,59.27919719,ZMB
Slovak Republic,58.79255658,SVK
"Taiwan, China",58.68053456,TWN
Yemen,58.5690376,YEM
Mexico,58.49034409,MEX
Indonesia,58.34472825,IDN
Papua New Guinea,58.33000197,PNG
Nigeria,58.18257171,NGA
Kyrgyzstan,57.89610431,KGZ
Mozambique,57.88743648,MOZ
Saudi Arabia,57.2881317,SAU
Niger,57.25075235,NER
Madagascar,57.23395409,MDG
Madagascar,57.1228202,MDG
Madagascar,57.1228202,MDG
Iraq,56.98817121,IRQ
Iraq,56.76728683,IRQ
Chad,56.54966708,TCD
Saudi Arabia,56.50173879,SAU
Malawi,56.40157376,MWI
Australia,56.19482023,AUS
Nigeria,55.91711929,NGA
Nigeria,55.91711929,NGA
Indonesia,55.77069612,IDN
Canada,55.65630283,CAN
Bangladesh,55.50480056,BGD
United Arab Emirates,55.37596182,ARE
United Arab Emirates,55.27435455,ARE
United Arab Emirates,55.27435455,ARE
South Africa,54.85827678,ZAF
Zambia,54.75295307,ZMB
Ecuador,54.53895496,ECU
Ecuador,54.48437962,ECU
South Africa,54.28029219,ZAF
South Africa,54.28029219,ZAF
Madagascar,54.23333902,MDG
Madagascar,54.23333902,MDG
Madagascar,54.23333902,MDG
Belarus,54.21402345,BLR
Brazil,54.02618393,BRA
Brazil,53.9702562,BRA
Malawi,53.83517455,MWI
Dominican Rep.,53.789065,DOM
Viet Nam,53.72137728,VNM
Mozambique,53.60657749,MOZ
Mozambique,53.60657749,MOZ
Mozambique,53.60657749,MOZ
Brazil,53.58575308,BRA
Spain,53.54695305,ESP
Afghanistan,53.4760115,AFG
Nepal,53.44814963,NPL
Kyrgyzstan,53.35565936,KGZ
Nepal,53.18090888,NPL
Mexico,53.16662983,MEX
Egypt,52.59945509,EGY
Sierra Leone,52.41364709,SLE
Brazil,52.32155343,BRA
Papua New Guinea,52.20329874,PNG
"Taiwan, China",52.16475904,TWN
Egypt,52.12127822,EGY
Benin,51.97508181,BEN
Germany,51.87050011,DEU
Mali,51.85015685,MLI
Mozambique,51.37030787,MOZ
Argentina,51.3024,ARG
Madagascar,51.18086147,MDG
Madagascar,51.16604362,MDG
Madagascar,51.16604362,MDG
Mozambique,50.95500066,MOZ
South Africa,50.94667181,ZAF
Chad,50.49427926,TCD
Chad,50.48446502,TCD
"Hong Kong, China",50.40917733,HKG
Mexico,50.24034981,MEX
Madagascar,50.18806537,MDG
Canada,50.09067255,CAN
Canada,50.09067255,CAN
Bolivia,49.89868852,BOL
Poland,49.76968641,POL
Kyrgyzstan,49.5941971,KGZ
Netherlands,49.38268655,NLD
South Africa,49.25433921,ZAF
Bulgaria,49.09583046,BGR
Netherlands,48.98060694,NLD
Uzbekistan,48.62462552,UZB
Uzbekistan,48.62462552,UZB
Madagascar,48.18765533,MDG
Madagascar,48.18765533,MDG
Madagascar,48.18765533,MDG
Ethiopia,48.01929651,ETH
Zambia,47.89058295,ZMB
Singapore,47.87783336,SGP
Venezuela,47.57932208,VEN
Kyrgyzstan,47.50449584,KGZ
Saudi Arabia,47.48180629,SAU
Uganda,47.31830031,UGA
Madagascar,47.03655132,MDG
Switzerland,46.69199503,CHE
Czech Republic,46.52345099,CZE
Kazakhstan,46.40365426,KAZ
United Kingdom,46.37747375,GBR
Senegal,46.33551629,SEN
Mali,46.08902831,MLI
Venezuela,45.87633756,VEN
Kazakhstan,45.21381698,KAZ
Tanzania,45.20576605,TZA
Bulgaria,45.16422146,BGR
Madagascar,45.08302588,MDG
Bulgaria,44.85757786,BGR
Bolivia,44.82679442,BOL
Afghanistan,44.81945408,AFG
Nigeria,44.769655,NGA
Nigeria,44.769655,NGA
Nigeria,44.769655,NGA
Nigeria,44.769655,NGA
Nigeria,44.7558244,NGA
Uganda,44.69545784,UGA
Uganda,44.69545784,UGA
Azerbaijan,44.63316439,AZE
Nigeria,44.58985719,NGA
Mexico,44.54056743,MEX
Netherlands,44.44807316,NLD
Netherlands,44.44807316,NLD
Mexico,44.30552486,MEX
Cote d'Ivoire,44.22290783,CIV
Spain,44.21167977,ESP
Madagascar,44.10626316,MDG
Madagascar,44.10626316,MDG
Madagascar,44.10626316,MDG
Madagascar,44.10626316,MDG
South Africa,44.1027374,ZAF
Madagascar,44.09541024,MDG
Mexico,44.07048229,MEX
Madagascar,43.90222828,MDG
Zambia,43.77802781,ZMB
Mexico,43.60039715,MEX
Mexico,43.60039715,MEX
Argentina,43.3152,ARG
Nigeria,43.01316869,NGA
Nigeria,43.01316869,NGA
Rwanda,43.00255657,RWA
Mozambique,42.885262,MOZ
Uganda,42.59128855,UGA
Brazil,42.23242457,BRA
Uganda,42.18176876,UGA
Bangladesh,42.04909133,BGD
Algeria,42.03218089,DZA
Sierra Leone,41.93091767,SLE
Tanzania,41.92686982,TZA
Mozambique,41.87389908,MOZ
Syria,41.74726449,SYR
Tanzania,41.65810783,TZA
Benin,41.58006545,BEN
Kyrgyzstan,41.56643386,KGZ
Benin,41.53969645,BEN
Netherlands,41.15223879,NLD
United States,40.96,USA
United States,40.96,USA
Malaysia,40.91527889,MYS
Philippines,40.5610831,PHL
Philippines,40.5610831,PHL
Philippines,40.5610831,PHL
Uzbekistan,40.52052127,UZB
China,40.46723469,CHN
Chad,40.39542341,TCD
Chad,40.39542341,TCD
Mexico,39.95723728,MEX
Brazil,39.9568652,BRA
Brazil,39.9568652,BRA
Uganda,39.81958971,UGA
Uganda,39.81958971,UGA
Uganda,39.76879942,UGA
Uganda,39.76879942,UGA
Uganda,39.76879942,UGA
Uganda,39.76154366,UGA
Uganda,39.76154366,UGA
Pakistan,39.72714748,PAK
Uganda,39.71800912,UGA
Mexico,39.60467342,MEX
Mexico,39.39901117,MEX
Peru,39.33470075,PER
Niger,39.12116198,NER
Tanzania,39.0600753,TZA
Mexico,38.99204781,MEX
Ecuador,38.98238465,ECU
Sierra Leone,38.93585212,SLE
Nicaragua,38.79672874,NIC
Kazakhstan,38.78869562,KAZ
Germany,38.77809409,DEU
Mozambique,38.58523498,MOZ
Thailand,38.52602629,THA
