Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Dominican Rep.,4.65,DOM
Dominican Rep.,4.96,DOM
Dominican Rep.,#VALUE!,DOM
Dominican Rep.,13.56,DOM
Dominican Rep.,#VALUE!,DOM
Dominican Rep.,#VALUE!,DOM
Dominican Rep.,#VALUE!,DOM
Dominican Rep.,#VALUE!,DOM
Ecuador,37.51,ECU
Ecuador,28.63,ECU
Ecuador,25.66,ECU
Ecuador,#VALUE!,ECU
Ecuador,148.06,ECU
Ecuador,78.77,ECU
Ecuador,72.32,ECU
Ecuador,19.35,ECU
Ecuador,30.37,ECU
Ecuador,32.01,ECU
Ecuador,30.01,ECU
Ecuador,28.2,ECU
Ecuador,22.9,ECU
Ecuador,22,ECU
Ecuador,59.13,ECU
Ecuador,65.74,ECU
Ecuador,59.19,ECU
Ecuador,39.46,ECU
Ecuador,29.61,ECU
Ecuador,26.32,ECU
Ecuador,19.74,ECU
Ecuador,788.35,ECU
Ecuador,657.4,ECU
Ecuador,493.21,ECU
Ecuador,78.93,ECU
Egypt,70.66,EGY
Egypt,38.87,EGY
Egypt,18.98,EGY
Egypt,9.49,EGY
Egypt,54.41,EGY
Egypt,64.78,EGY
Egypt,7.59,EGY
Egypt,6.33,EGY
Egypt,9.72,EGY
Egypt,5.42,EGY
Egypt,5.06,EGY
Egypt,77.73,EGY
Egypt,15.55,EGY
Egypt,7.91,EGY
Egypt,6.33,EGY
Egypt,5.42,EGY
Egypt,4.74,EGY
Egypt,4.74,EGY
Egypt,25.91,EGY
Egypt,19.43,EGY
El Salvador,12.91,SLV
El Salvador,11.07,SLV
El Salvador,8.86,SLV
El Salvador,5.54,SLV
El Salvador,9.22,SLV
El Salvador,8.61,SLV
El Salvador,7.01,SLV
El Salvador,4.43,SLV
El Salvador,3.69,SLV
El Salvador,5.54,SLV
El Salvador,5.54,SLV
El Salvador,6.46,SLV
El Salvador,13.83,SLV
El Salvador,12.29,SLV
El Salvador,6.92,SLV
