Country,Continent,Currency,Country Code,Standard Xrate,"PPP conversion factor, GDP (LCU per international $)",PPP /Standard Xrate,"GDP per capita, PPP (current international $)",GDP per capita (current US$),"Population, total",Urban population,Urban population (% of total),Population density (people per sq. km of land area),Interent users,Internet users (per 100 people),Fixed broadband Internet subscribers,Fixed broadband Internet subscribers (per 100 people),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Telephone lines,Telephone lines (per 100 people),Connection speed (Mbps)
Chad,Africa,XAF,TCD,511.67,255.402,0.499,"1,521",823,"11,525,496","2,515,947",21.8,9.2,"218,984",1.9,167,0.0,"3,665,661",31.8,"31,205.0",0.3,#N/A
Chile,South America,CLP,CHL,471.50,402.196,0.853,"17,310","14,394","17,269,525","15,395,022",89.1,23.2,"9,307,203",53.9,"2,011,268",11.6,"22,399,969",129.7,"3,366,325.0",19.5,3.0
China,Asia,CNY,CHN,6.21,4.188,0.674,"8,400","5,445","1,344,130,000","678,796,403",50.5,144.1,"516,117,519",38.4,"156,487,000",11.6,"986,253,000",73.2,"284,388,161.5",21.2,1.6
Colombia,South America,COP,COL,"1,824.00","1,307.772",0.717,"10,033","7,104","46,927,125","35,332,746",75.3,42.3,"18,958,559",40.4,"3,256,616",6.9,"46,200,421",98.5,"7,126,730.0",15.2,2.7
Congo (Democratic Republic of the),Africa,CDF,COD,,,#DIV/0!,,,,,,,,,,,,,,,
Cote d'Ivoire,Africa,XOF,CIV,511.67,315.013,0.616,"1,789","1,195","20,152,894","10,334,364",51.3,63.4,"443,364",2.2,"15,444",0.1,"17,416,379",86.4,"268,162.0",1.3,#N/A
Cuba,North America,CUC,CUB,,,#DIV/0!,,,,,,,,,,,,,,,
Czech Republic,Europe,CZK,CZE,19.70,13.899,0.706,"26,208","20,579","10,546,000","7,745,236",73.4,136.5,"7,686,874",72.9,"1,650,000",15.7,"12,810,000",121.6,"2,204,447.1",20.9,7.6
Denmark,Europe,DKK,DNK,5.82,7.857,1.350,"40,908","59,852","5,574,000","4,845,523",86.9,131.4,"5,015,335",90.0,"2,129,552",38.2,"7,047,000",126.5,"2,515,443.5",45.1,7.2
Dominican Rep.,North America,DOP,DOM,40.86,21.513,0.527,"9,796","5,530","10,056,181","7,003,084",69.6,208.1,"3,569,944",35.5,"401,541",4.0,"8,770,780",87.2,"1,044,206.0",10.4,#N/A
Ecuador,South America,USD,ECU,1.00,0.519,0.519,"8,669","4,496","14,666,055","9,888,324",67.4,59.1,"4,605,141",31.4,"618,920",4.2,"15,332,715",104.5,"2,210,608.0",15.1,#N/A
Egypt,Africa,EGP,EGY,6.80,2.635,0.387,"6,281","2,781","82,536,770","35,935,354",43.5,82.9,"29,399,597",35.6,"1,820,446",2.2,"83,425,145",101.1,"8,714,286.0",10.6,1.2
El Salvador,North America,USD,SLV,1.00,0.542,0.542,"6,831","3,702","6,227,491","4,033,135",64.8,300.6,"1,101,556",17.7,"206,000",3.3,"7,837,000",125.8,"950,000.0",15.3,#N/A
Eritrea,Africa,ERN,ERI,15.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ethiopia,Africa,ETB,ETH,18.40,5.440,0.296,"1,109",357,"84,734,262","14,420,416",17.0,84.7,"932,077",1.1,"27,043",0.0,"14,126,659",16.7,"829,008.0",1.0,#N/A
Finland,Europe,EUR,FIN,0.78,0.938,1.203,"37,464","48,823","5,387,000","4,508,262",83.7,17.7,"4,812,369",89.3,"1,588,700",29.5,"8,940,000",166.0,"1,080,447.3",20.1,6.8
France,Europe,EUR,FRA,0.78,0.866,1.110,"35,246","42,377","65,436,552","56,107,525",85.7,119.5,"50,235,586",76.8,"22,800,000",36.1,"66,300,000",105.0,"36,592,120.0",55.9,4.8
Germany,Europe,EUR,DEU,0.78,0.803,1.030,"39,491","44,060","81,726,000","60,431,800",73.9,234.4,"68,194,885",83.4,"26,679,420",32.5,"108,700,000",132.3,"51,524,797.6",63.0,5.9
Ghana,Africa,GHS,GHA,1.94,1.269,0.654,"1,871","1,570","24,965,816","12,949,369",51.9,109.7,"3,522,677",14.1,"62,646",0.3,"21,165,843",84.8,"284,721.0",1.1,#N/A
Greece,Europe,EUR,GRC,0.78,0.714,0.915,"25,850","25,622","11,304,000","6,947,755",61.5,87.7,"6,036,716",53.4,"2,464,282",21.6,"12,127,985",106.5,"5,641,761.4",49.9,4.0
Guatemala,North America,GTQ,GTM,7.78,5.021,0.645,"4,928","3,178","14,757,316","7,346,546",49.8,137.7,"1,730,649",11.7,0,0.0,"20,715,677",140.4,"1,626,341.0",11.0,#N/A
Guinea,Africa,GNF,GIN,"6,949.00","2,932.292",0.422,"1,124",498,"10,221,808","3,624,244",35.5,41.6,"132,884",1.3,600,0.0,"4,500,000",44.0,"18,000.0",0.2,#N/A
Haiti,North America,HTG,HTI,42.50,25.103,0.591,"1,171",726,"10,123,787","5,397,254",53.3,367.3,0,0.0,0,0.0,"4,200,000",41.5,0.0,0.0,#N/A
Honduras,North America,HNL,HND,19.91,10.504,0.528,"4,047","2,247","7,754,687","4,044,147",52.2,69.3,"1,232,995",15.9,"2,106",0.0,"8,062,229",104.0,"609,219.0",7.9,#N/A
"Hong Kong, China",Asia,HKD,HKG,7.76,5.414,0.698,"50,551","35,156","7,071,600","7,071,600",100.0,"6,786.6","5,306,029",75.0,"2,246,060",31.5,"14,930,948",209.6,"4,317,584.0",61.1,9.0
Hungary,Europe,HUF,HUN,237.29,130.345,0.549,"21,663","14,044","9,971,000","6,923,444",69.4,110.1,"5,880,008",59.0,"2,208,092",22.2,"11,689,937",117.3,"2,934,750.5",29.4,5.8
India,Asia,INR,IND,54.15,19.666,0.363,"3,627","1,489","1,241,491,960","388,524,909",31.3,417.6,"125,018,240",10.1,"12,830,000",1.0,"893,862,478",72.0,"32,685,211.0",2.6,1.0
Indonesia,Asia,IDR,IDN,"9,625.00","6,610.849",0.687,"4,636","3,495","242,325,638","122,824,688",50.7,133.8,"43,618,615",18.0,"2,736,379",1.1,"236,799,493",97.7,"38,617,480.0",15.9,1.2
Iran (Islamic Rep. of),Asia,IRR,IRN,"8,229.00",0.000,0.000,0,0,"74,798,599","51,672,518",69.1,45.9,"15,707,706",21.0,"1,772,867",2.4,"56,043,006",74.9,"27,766,931.0",37.1,#N/A
Iraq,Asia,IQD,IRQ,"1,166.00","1,059.983",0.909,"3,864","3,501","32,961,959","21,920,955",66.5,75.9,"1,633,247",5.0,0,0.0,"25,519,000",78.1,"1,810,312.5",5.5,#N/A
Israel,Asia,ILS,ISR,3.64,4.023,1.105,"27,825","31,282","7,765,700","7,135,405",91.9,358.9,"5,293,536",68.2,"1,800,000",23.8,"9,200,000",121.7,"3,594,188.4",46.3,5.6
Italy,Europe,EUR,ITA,0.78,0.796,1.021,"32,647","36,103","60,770,000","41,566,680",68.4,206.6,"34,527,978",56.8,"13,886,000",22.8,"92,300,000",151.8,"21,053,523.5",34.6,3.9
Japan,Asia,JPY,JPN,94.06,106.765,1.135,"34,314","45,903","127,817,277","116,486,531",91.1,350.7,"100,603,256",78.7,"34,615,907",27.4,"129,868,418",102.7,"65,259,197.9",51.1,10.5
Jordan,Asia,JOD,JOR,0.71,0.555,0.782,"5,966","4,666","6,181,000","5,112,416",82.7,69.6,"2,209,229",35.7,"199,888",3.2,"7,482,561",118.2,"454,421.2",7.4,#N/A
Kazakhstan,Asia,KZT,KAZ,150.90,127.114,0.842,"13,099","11,357","16,558,459","8,881,428",53.6,6.1,"7,293,038",44.0,"1,215,700",7.5,"23,102,700",142.5,"4,329,255.3",26.1,#N/A
Kenya,Africa,KES,KEN,85.25,41.976,0.492,"1,710",808,"41,609,728","9,979,760",24.0,73.1,"11,650,724",28.0,"48,961",0.1,"26,980,771",64.8,"283,546.0",0.7,#N/A
Korea (North),Asia,KPW,PRK,,,#DIV/0!,,,,,,,,,,,,,,,
Korea (South),Asia,KRW,KOR,"1,111.05",820.587,0.739,"30,286","22,424","49,779,000","41,416,526",83.2,512.7,"40,551,945",81.5,"17,859,003",36.9,"52,506,793",108.5,"30,313,532.8",60.9,14.7
Kyrgyzstan,Asia,KGS,KGZ,47.60,20.672,0.434,"2,399","1,075","5,507,000","1,948,905",35.4,28.7,"1,078,516",19.6,"16,000",0.3,"5,653,000",104.8,"490,184.7",8.9,#N/A
Lao P.D.R.,Asia,LAK,LAO,"7,731.00","3,811.269",0.493,"2,790","1,320","6,288,037","2,151,917",34.2,27.2,"565,923",9.0,"41,719",0.7,"5,480,851",87.2,"107,643.0",1.7,#N/A
Libya,Africa,LYD,LBY,1.28,0.000,0.000,0,0,"6,422,772","4,992,742",77.7,3.7,"1,091,749",17.0,"70,000",1.1,"10,000,000",155.7,"1,000,000.0",15.6,#N/A
